corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
xlmj,81,73,22,0
adwt,1269,521,552,1
xxaa,403,193,423,1
mdjt,67,579,196,0
ayfq,4793,83,417,1
jvao,4792,580,357,0
twmw,42,4399,355,1
nzuo,2469,474,38,1
xarj,4357,184,323,1
nhsi,3284,141,3,1
kkol,96,49,1690,1
ryas,67,278,456,0
aswx,59,65,5,0
udui,3105,272,203,1
ngru,379,37,316,0
uuyh,4094,1171,496,1
sodm,1761,551,4,0
zexi,71,117,199,1
vfko,91,560,16,1
gqag,75,3297,500,1
tleg,3698,454,0,0
bbfm,1976,3196,625,1
sing,26,573,10,0
jiko,3,117,426,0
snpd,3751,93,24,1
nyud,2848,277,166,0
dfab,9,4759,1520,1
xqyd,4869,327,583,1
kvcy,1764,197,498,0
tzjz,32,459,595,1
iskc,3104,499,1972,1
xtsz,1,4869,340,0
cyen,97,8654,16,0
ijiy,3240,267,577,1
hqpc,8,6041,13,0
bjtq,1756,327,300,1
ivbg,3314,8679,567,1
vfgp,34,147,619,1
onwk,4411,243,56,1
jtjn,70,3974,10,0
pqsd,1926,2658,1713,0
gmyv,7,3573,5,1
bdpk,1936,3093,115,1
wxfu,2068,317,413,1
srrq,949,329,110,0
luvs,1107,68,8,1
tldw,3726,233,1165,1
cjei,47,400,21,1
kmff,763,394,5,0
ovrl,56,2928,10,0
rtsu,21,121,597,0
jnak,0,35,31,0
xmpg,91,389,378,1
fcov,4661,145,1617,1
yehv,2391,190,73,1
hulu,2372,447,347,0
glyl,4646,6123,9,1
ksko,48,38,83,1
bxwx,4425,6873,1582,0
fgra,2720,283,22,1
bsqp,0,403,235,1
pyku,4090,4322,9,1
wgqu,3677,3145,274,1
daat,83,4,1383,1
kowe,51,399,75,1
zxaq,52,240,842,1
vzmn,100,448,417,0
rtgz,46,70,96,1
rbxf,18,78,18,0
usnx,7,90,802,1
ifeh,3897,454,468,0
bzej,13,6939,167,0
uvhw,48,34,24,0
xmkt,3115,47,27,0
lepe,25,109,18,1
bfrg,41,376,14,1
fqjq,18,472,645,1
usnn,37,0,5,1
hrer,316,4798,11,1
zcne,4774,130,512,0
rfub,47,1117,125,1
ckni,43,10,1,0
ikyy,76,196,15,1
dwdj,95,5672,257,0
dxux,3690,8716,0,1
tutq,4262,8214,196,1
cjqj,1875,28,14,1
ccos,1541,199,299,1
nnrw,38,551,9,0
vanv,71,3351,977,0
gkaa,57,7577,29,1
vyys,96,124,61,0
iabo,48,310,82,1
bboo,81,289,18,0
rxfz,1370,407,536,1
hpsy,4086,1635,200,1
jclj,30,469,66,0
noam,67,3529,368,1
ngte,9,378,9,0
jhij,999,8404,590,0
xujb,7,157,17,1
rwzm,2611,462,21,1
bgji,55,119,315,0
ycqa,99,3609,17,0
qsot,2873,830,21,0
fzvt,4091,590,444,1
hleo,1039,6106,29,1
akbh,1247,539,10,0
rcdu,91,111,554,1
qbbp,53,417,19,0
yazd,3775,309,12,1
lvsp,89,368,10,0
yrpg,4558,265,548,0
jior,1372,121,24,1
bkxx,3141,298,8,1
lveg,60,409,690,0
pttl,627,176,14,0
krcs,94,7348,6,1
ykfj,923,62,570,1
bhho,42,6133,280,1
jguw,4455,116,24,1
phqb,76,429,6,0
dnol,98,565,36,1
cdif,36,184,15,1
egjr,1942,3172,171,0
eyky,32,402,143,1
waqt,99,11,525,1
dfza,469,478,167,0
sclp,3329,132,38,1
vnke,4650,8169,366,0
szoq,3436,451,1787,0
rnds,2711,4190,17,0
brvu,1379,496,200,1
fvvt,233,290,23,1
weeq,38,66,211,0
iwtx,1942,535,13,1
nfoh,4,5317,364,0
qpcw,3432,94,5,1
vmzk,87,8489,53,0
ppuh,1777,29,484,1
epwm,3665,144,6,1
dimx,36,234,18,1
zguy,3675,21,429,1
llcx,7,8290,7,0
otrz,1547,284,1,0
ysoc,2824,257,510,1
qoev,1885,245,6,1
cact,685,26,592,1
xlcu,706,326,390,1
evdc,1,292,16,0
mopg,32,642,4,1
xlgc,1149,415,9,1
fuex,638,356,568,1
gytk,63,426,0,0
lzfa,2386,7392,1558,1
uaos,2335,197,114,0
hiuj,99,8682,23,1
hnyr,100,458,22,0
hkry,3652,348,278,1
ihnw,89,261,18,0
snqp,1826,83,409,1
wyyt,3,7181,361,1
gyub,2383,5922,8,1
mvnz,80,149,72,1
kaes,960,8338,20,0
fciw,59,26,11,0
euyk,2753,494,583,1
jyrd,78,101,10,1
mrgp,11,321,9,1
dtuz,77,563,5,0
lsho,3261,66,1858,1
nhos,2294,137,23,0
ncgr,4282,7096,366,0
dkcs,4069,214,3,1
oqmo,1609,148,425,0
ayjd,71,7994,16,0
hnds,586,135,25,0
gfnf,3064,58,16,1
gpfn,20,3093,17,1
ejzi,24,328,7,0
rzyb,4679,14,18,1
rxud,51,3258,94,1
voup,71,296,19,0
fjel,2055,116,333,0
vwkq,18,530,4,1
wxdk,4510,388,103,0
hghk,33,2005,1064,1
ifxs,28,70,8,1
yrgg,80,6191,342,1
fqyd,2740,4719,21,0
xexh,24,53,328,1
aims,13,474,641,0
rqoh,1943,179,247,0
ndvy,25,307,1706,0
wxua,925,297,387,1
idwn,89,97,19,0
iwxg,1656,7570,7,1
hwko,1262,91,173,0
wrrn,4152,144,7,1
ibbt,30,7074,314,1
kytg,46,3696,191,1
bppa,1802,1,126,1
yqjg,36,56,4,1
nagg,308,177,89,0
rwfp,47,116,436,1
piwa,60,8230,398,0
vdwt,89,247,237,0
fgee,69,585,339,0
ollo,47,480,123,0
qxqi,4428,42,473,1
odkr,3821,7860,9,1
qtnu,53,65,594,0
affl,27,561,18,0
xogi,28,158,9,1
vdrh,79,3741,956,0
hgkg,4265,38,14,1
yjtf,63,362,72,0
mzhz,86,75,283,1
hoip,13,422,515,0
ihnc,57,1329,439,0
cxgt,2040,18,1782,1
gjou,98,430,149,0
xjbo,53,226,18,1
bhii,3368,1716,354,1
nxyz,1834,499,19,0
rfxj,80,6830,880,0
xarz,218,5219,21,0
tscz,1798,344,8,1
utdv,98,148,12,1
kahk,27,5558,24,1
ycoc,461,727,15,0
druj,62,89,438,0
ttnz,4941,53,17,0
iuzs,43,551,250,1
tokg,562,130,131,0
cxwv,389,5157,388,0
fown,53,51,8,0
osuf,4028,29,429,0
sqhr,95,899,22,0
motb,4556,108,22,1
okhz,90,367,508,1
hoxc,681,8716,5,1
xqwi,2469,101,6,1
jpyg,59,4106,11,0
muhz,3844,62,176,1
wnzq,4741,1203,1,0
sath,82,1694,19,1
auuk,2143,18,8,0
ysyl,1644,59,263,0
hgvi,74,198,1832,1
akve,2043,76,259,0
pgkv,91,7673,35,1
mgnv,1887,5896,479,0
zihw,24,28,148,1
gtzl,62,3320,135,0
zfkm,17,6790,1,0
cxqu,1998,86,5,0
gtlb,4650,544,1460,0
lozs,10,1588,584,1
vkyf,24,541,427,0
ctgy,84,388,633,0
atuj,68,1325,205,0
tkki,24,30,140,1
svfx,1135,4333,304,1
oykr,87,28,334,1
mtga,47,536,9,0
ugdi,58,82,814,1
ebwe,4315,129,7,0
qgmy,871,82,21,0
jjdg,57,21,248,1
roie,87,526,60,1
crwd,71,4079,11,0
uykj,1946,552,93,1
oktn,3943,341,209,0
hwpi,8,167,631,1
hgzv,1165,88,13,0
ktup,53,426,8,1
czrr,3081,45,16,1
iiwf,962,561,20,0
fcdi,24,10,4,1
gtqx,57,163,11,1
lqls,40,293,16,0
euiy,1173,485,17,1
mfov,85,45,21,1
byan,2944,496,23,0
xnmb,44,370,435,0
vwat,4256,364,297,0
drmh,4595,82,14,0
vrfn,1740,76,288,0
pppj,1488,285,20,1
bcqk,59,572,21,1
kfud,30,363,218,1
ebxs,700,6421,1062,0
puop,2679,102,8,1
ipmk,81,38,11,0
zfix,66,50,397,0
afaa,4135,6268,609,1
clsa,3876,243,18,1
xnpl,66,201,935,0
hdcx,615,110,23,1
casz,3153,472,22,0
dyse,64,592,6,1
aprm,3232,436,189,0
xdgd,2874,6729,624,0
sbmd,2999,148,23,1
vdxf,3803,368,519,1
keml,65,4883,106,1
cbsq,1689,169,250,1
onaq,3155,19,3,0
dmiv,1482,185,393,0
cfhx,45,8115,216,0
enrd,1560,50,297,1
afqj,2930,167,22,0
icys,15,2462,9,0
kmao,1590,257,13,0
dwsf,80,550,21,0
kzth,3789,5112,915,1
gsay,97,124,18,0
nbqr,4995,282,1434,1
hpns,78,43,21,0
lbel,51,221,465,1
mzzn,2786,218,9,0
ivyf,4679,449,38,1
qmqy,13,521,157,0
cdtm,100,431,418,0
tgvq,937,228,25,1
hqzd,1932,477,273,1
rdcm,94,2148,9,0
xvuy,904,410,17,1
brnw,2133,26,533,1
wjpv,3659,5197,201,1
xqoe,61,7180,25,0
dnxm,2764,6980,80,0
eliu,2769,135,171,1
cvme,1252,111,25,1
fkjr,4844,8189,12,0
vttz,92,6,16,0
xpir,79,453,395,0
lewk,33,598,70,0
dega,43,418,44,0
mmth,56,21,23,0
youq,3303,595,1,1
myth,75,6,1,1
uswq,83,143,463,1
vigp,80,421,9,0
vlco,22,4488,11,1
tejw,79,4893,14,0
cfdr,4360,72,8,1
zajk,3342,589,202,0
ezvk,7,1016,13,1
tcwf,3550,503,5,0
ennx,2392,144,17,1
daoz,61,96,20,0
lxgr,301,127,25,0
vsrl,4146,557,191,0
dfxl,2564,6445,11,0
qhdx,4,120,22,1
yjdn,4147,337,50,0
murh,216,219,298,0
snmv,11,3350,138,0
sxvm,3640,80,321,1
krcl,3342,582,22,0
lcwm,13,489,8,1
gahk,97,1422,1238,0
imuk,87,6704,715,0
glyz,14,4735,18,1
szlz,69,595,3,1
wssd,1572,6837,0,0
dtnv,9,301,440,0
nptm,13,1478,1830,1
uvjh,554,1910,5,1
fxef,7,7780,97,1
abtd,19,502,11,1
ldlz,1571,63,11,0
fucx,1972,445,24,1
hmgm,100,1477,4,0
vkgn,4008,130,14,1
lewt,54,107,271,1
wuok,2092,4,9,1
mrrx,876,408,273,1
mqzz,912,217,457,1
ifiz,2246,6635,449,1
cags,55,112,28,1
bsmq,1587,454,1239,1
urqk,4343,176,484,1
pmea,327,64,482,0
qsfc,85,6,72,0
dcis,78,3372,21,0
yafw,10,4386,20,1
geco,4458,6082,15,1
xsho,3745,12,25,1
uknh,3009,6269,1507,0
huvp,56,173,4,1
ufmq,23,232,4,1
dslg,36,597,89,1
zyku,4770,6,12,1
lakj,84,58,334,1
qghd,287,49,49,1
aopo,66,2930,17,0
oodd,92,262,17,1
tvjh,11,99,0,1
gvvd,93,167,154,0
vntz,23,111,546,1
jcoo,424,350,2,1
ueyw,40,5297,329,1
omml,1,98,94,1
jnry,65,5145,183,1
bjtq,4211,23,621,0
dtxq,86,529,519,1
nlun,4767,53,573,0
retm,4374,4668,14,1
rxui,14,26,6,1
ycfe,4607,39,17,1
xbjx,1450,301,487,1
gwul,1607,46,228,1
zyob,38,7,8,0
jxiu,4671,209,298,0
yoyt,69,54,325,0
nywo,17,146,3,1
qpmt,2093,82,66,1
luxu,40,85,10,1
eopf,1170,174,1674,1
kcwh,5,216,373,1
mrqk,3694,448,11,0
nklq,3174,122,24,1
txed,41,512,17,0
redq,625,538,535,1
trbr,3176,228,14,1
fgnd,1133,243,11,0
tjfk,20,96,95,0
lmyt,46,455,19,0
pruf,23,20,324,1
hdwv,1412,202,1106,0
ymkh,3,92,187,1
yils,4180,2620,1702,1
swkn,35,22,18,1
ymgm,1024,257,5,1
bzvl,4102,86,140,0
nect,1657,5378,14,1
rcza,3053,214,577,1
qnbu,4313,1604,8,1
slmw,1072,89,1376,1
cwtn,60,5997,145,0
tkbl,3837,2,12,0
ggtc,5,342,404,1
oprj,43,574,5,0
rnbo,88,8412,58,0
bacj,756,377,6,1
zzpu,25,45,632,1
ctwf,52,61,1450,0
wngl,94,2795,70,1
csoj,37,1862,346,0
kkum,13,101,1865,1
nohv,1362,358,21,1
ssco,1542,537,20,1
gpii,47,329,1422,1
yqzz,0,80,258,0
plap,69,421,283,0
andq,1806,369,13,0
pywb,4953,128,25,1
slnm,2783,0,623,0
hpnb,1,296,36,0
bbbm,383,2463,17,0
ypuo,3029,328,19,1
lvou,1006,38,23,0
hsat,21,98,123,1
pjex,2926,3185,74,0
scqz,3377,580,10,1
qwni,41,8599,12,0
wkyl,1713,58,1,1
eivp,47,442,0,0
nhdx,985,488,16,1
bqze,16,3761,19,0
neib,58,384,129,1
inzo,11,47,1514,1
ltsz,42,333,727,0
fean,1417,66,318,0
ufip,4082,239,620,1
pvhk,16,96,3,1
jzqv,2829,366,563,1
ybxs,4721,45,517,1
uube,16,215,122,1
kziy,2217,429,3,0
tjvf,63,96,99,1
nbmy,10,414,1249,0
zyeo,61,550,1881,1
nasz,827,19,642,1
dmvo,50,393,1769,0
stdz,17,150,21,0
cqro,0,276,422,0
owce,2774,181,562,0
gcxb,10,240,17,1
jjfd,18,5,140,0
lptl,85,70,379,1
qrkl,3263,5114,387,1
tbbz,4043,362,7,1
opvy,106,47,6,0
zede,9,175,1669,0
mvrl,3195,25,1,1
ehov,2787,230,10,1
wjuc,9,73,600,0
ssmf,12,552,142,1
yzbh,1,15,13,0
qkrq,16,1,10,1
foge,1434,419,486,1
sjpv,48,54,469,0
qyhe,62,87,544,1
tmul,1895,6718,20,0
nukq,3966,4837,1,1
fafs,91,268,68,1
apox,79,124,32,1
spva,48,57,486,0
qckt,53,175,498,0
ymmd,68,134,4,0
bxjf,4519,522,146,0
egls,19,5725,199,0
oyfe,76,339,122,0
uxgo,2819,55,6,1
pcme,1793,24,467,0
cvgf,25,79,534,1
gwts,15,11,429,1
cvep,8,128,10,0
yrqz,2015,3048,359,1
hpne,2688,131,78,1
virv,24,7321,13,1
mcyd,91,5717,335,0
dxpg,6,65,24,0
sfbo,3896,143,19,1
rggc,15,7845,6,1
vbff,1569,132,13,1
ejxy,75,274,159,1
tntl,1792,534,21,1
fmrx,39,4471,383,1
nmnf,4813,106,11,1
nhkt,2617,3808,508,1
zxve,4518,8645,616,1
jfrc,1659,495,295,0
efay,4500,5236,22,0
wkni,79,11,108,1
lzpz,2,98,108,0
eaqp,37,103,169,0
nigl,2673,741,8,0
rexh,2994,187,6,1
ufxt,75,324,261,1
mgxv,78,28,5,0
biev,142,147,552,1
gscw,40,81,42,1
mfce,177,46,606,1
yhwd,22,13,402,0
oxhg,104,6808,623,1
enie,4927,4122,283,0
dtgx,1971,87,147,1
cnxu,2583,3702,342,1
xsow,37,6,3,0
bpny,4169,3404,1598,1
gqtg,1156,342,116,1
jxmc,65,110,90,1
avoy,2728,535,681,1
idvp,357,142,161,0
swny,1623,5786,21,0
mrbw,2346,2397,3,1
rlmt,4559,110,1495,1
ihvv,62,5581,10,0
ypty,699,558,4,1
paje,23,455,480,0
gjvu,50,371,172,1
gzvu,41,5732,1852,1
mdsj,12,30,1764,0
qnti,1149,0,369,1
lytm,246,523,172,0
yoyx,2282,597,323,1
ourk,3,302,123,0
mkcr,40,7295,11,1
ksmj,2204,240,447,0
cdyo,919,377,452,0
xsmo,88,259,12,0
iyci,3991,3266,317,0
slwj,7,12,619,0
odgk,35,43,15,1
sfbz,85,46,106,1
evnb,79,467,23,0
gtjt,53,144,18,1
ynvf,100,26,482,0
lhay,3448,110,604,0
tgiw,22,104,22,1
vxwi,4806,51,16,0
qfan,78,93,21,1
zimw,4686,373,580,1
vyvx,18,32,182,0
jorb,2,508,5,0
bctl,1523,8720,150,0
vfki,41,24,20,1
mjwv,940,73,1606,0
mkst,3138,341,214,1
favh,4899,105,1597,0
xlrd,2624,34,140,0
olyj,893,2524,3,0
ohkw,76,365,15,0
oyca,3,2854,1,1
ugxa,88,33,423,1
zbzq,884,3763,16,1
szhh,969,54,21,1
ulzm,25,362,841,1
yisc,956,133,195,0
bbcp,31,8,235,0
ctxz,95,475,455,1
qaen,60,4841,438,0
mklm,79,517,16,0
eqlx,39,101,19,1
wzev,61,41,18,0
dvgd,50,40,560,1
ysim,34,22,440,0
wfgq,2628,126,11,1
mdnb,1871,133,229,0
zuyf,4711,40,22,1
piiu,3163,92,23,0
jxho,587,101,550,1
agiy,17,8847,13,1
bxym,39,70,1,0
ittl,1464,21,9,1
atln,34,427,5,1
wycv,85,2369,626,1
pphz,4351,96,194,0
rmuv,929,288,927,1
yand,58,42,235,0
jkiq,10,372,280,0
ocjk,194,39,13,0
akgn,22,133,1070,1
ncqb,1451,2446,5,1
rfun,2331,3805,222,1
thrw,90,111,413,0
uerm,79,3616,18,1
suze,92,3867,6,1
mmcq,73,299,436,0
jkbi,73,113,390,1
uqpq,41,297,499,0
shve,546,1549,9,0
qzew,405,509,364,1
uzqn,435,197,7,1
xqdr,4847,8179,4,0
uazz,3101,19,19,1
bzxq,3066,557,413,1
axel,3786,119,310,0
aiky,1699,5852,12,1
dfnd,1085,50,1834,0
hqkh,60,451,17,1
mcdg,1901,379,1,1
rldi,2447,163,384,1
nhie,915,72,7,1
woia,2810,473,471,0
fxfp,59,308,649,1
qwzz,6,5827,23,0
gguf,72,398,382,0
vghv,0,173,17,0
wbuf,52,563,532,0
xcxm,22,5487,240,1
argk,0,468,533,0
gahg,4574,568,573,0
smjv,51,33,719,0
bttf,76,246,32,1
dhad,60,509,210,0
mlbm,60,36,18,1
vvkh,53,4917,70,1
irnn,20,103,549,0
amvb,751,90,18,1
zbwe,24,16,601,0
zima,3284,307,7,0
mlks,936,913,11,1
xzhv,85,32,6,1
scks,3928,8454,13,1
uacm,4019,33,7,1
ofex,82,7195,4,0
swer,69,167,1341,1
qcdh,2686,393,16,1
ysxl,2754,458,7,0
wqxl,36,83,636,1
zued,17,227,1,1
onvg,700,57,196,1
ytcx,85,560,10,0
nwcq,3353,295,372,1
ojdv,56,166,19,1
loac,52,5274,19,0
noyl,9,19,21,1
utyr,1509,5141,258,1
qlzc,3361,59,328,1
jvfn,48,574,103,0
nykz,94,14,239,1
watq,54,8405,337,0
woqx,62,6321,4,1
bvhr,717,532,447,1
vdcs,1041,113,1,1
gvqv,3912,8247,559,1
tcjf,4657,74,11,0
dows,1310,440,212,0
lkpz,586,39,25,1
uwie,100,97,14,0
gkum,800,3332,650,1
hawa,324,514,2,1
mmmc,106,285,418,1
kfzw,718,7438,239,0
ulgr,41,1000,452,1
ybck,85,405,429,1
pmug,3939,4965,6,1
qtic,59,120,8,1
goin,68,3195,1,0
hdqm,3429,44,12,0
hxxp,63,366,306,1
hfeb,546,1282,6,1
uvva,622,100,16,0
tcob,429,571,264,0
bjmk,2281,8677,226,0
wrlt,68,4526,19,0
cvgq,73,104,9,0
xyhn,49,182,17,0
ptik,3080,93,596,0
virz,4071,425,9,0
pscl,2866,2,11,1
hfiw,83,268,924,1
lgln,63,432,6,0
nsop,24,508,46,1
ipfy,821,285,610,0
posx,82,327,491,0
acrg,1413,182,4,0
ugfv,2239,1486,711,0
lzvz,3835,833,1649,1
jiow,2662,5913,19,0
bdlk,4770,8715,1163,1
etza,56,392,13,0
siij,73,7381,8,1
zxsm,2961,132,1,0
unff,779,259,587,0
zicw,3119,563,9,0
bhog,100,28,17,1
dvyx,35,102,6,0
xrtg,1330,488,62,0
bdxo,2935,1807,14,0
tbdm,4280,32,181,1
acop,83,406,166,0
cwmc,2748,381,10,0
bdvi,804,8362,25,0
rpub,53,8687,872,1
jwnl,3115,158,329,0
tnzt,53,576,20,1
bfzi,51,185,340,0
bgev,34,525,94,1
tpoo,1739,653,393,0
dvmt,286,33,1989,0
ohqz,71,352,12,1
pgon,23,712,184,0
tdlo,68,8091,6,1
xiaj,4708,5541,21,0
jxuz,67,393,4,0
oxmp,1347,41,16,0
feop,2267,139,9,1
gkcs,1402,121,16,0
nrzn,40,252,3,0
ukom,2503,549,1,1
iqdg,52,301,300,0
uuiy,1633,6430,1309,1
djzv,4236,29,15,0
ppvs,97,550,12,1
wbny,276,3521,2,0
pqxn,60,446,297,1
coap,87,382,327,0
ebsp,5,374,175,0
glhi,1514,31,244,0
ebwg,35,6150,9,1
gbth,68,6648,157,0
kxqx,23,10,16,1
omct,6,87,344,1
cbab,82,1412,458,0
ywgi,848,415,131,0
yfmd,3,117,4,0
raxa,11,539,20,0
zudp,53,6797,526,1
vffy,3920,12,24,1
ftwr,84,4311,0,0
mxzn,77,7,12,1
okie,2848,91,24,1
nmen,3665,146,14,0
liqd,20,577,25,1
lofu,2194,10,110,0
zafj,2230,40,15,0
womh,2994,62,195,0
nuwr,295,78,13,0
opei,395,520,2,0
whoi,34,14,537,0
mhvu,1679,16,19,1
vdfn,2,8878,24,0
zyeg,2091,487,107,0
xdqr,11,3,424,1
zbtj,595,7779,585,1
wqal,18,434,21,1
bolz,1095,206,6,1
qrno,4282,5717,550,0
lajl,12,90,1012,0
mhoj,63,289,16,0
yyea,4128,12,419,1
zrpt,1339,1116,5,1
nqhq,1399,0,14,1
eoin,9,1544,462,1
qrcn,29,8363,275,0
axek,14,97,193,1
uens,37,29,616,1
uynh,2808,215,5,0
fdwn,3446,119,572,0
yeuw,43,64,17,0
odlb,17,370,25,0
fwfq,72,2122,506,0
sgio,59,142,489,0
eqpc,14,6464,125,1
xgjc,0,29,3,0
dgxi,1806,271,322,1
csrd,4542,5856,951,0
vhpy,12,337,3,1
spae,18,487,14,0
deix,4845,380,17,1
vmvj,3369,227,45,1
jbjx,32,147,18,1
fbmt,385,416,12,1
fspd,63,8359,11,0
jjdx,3518,4465,2,0
kpfq,1527,100,237,0
dgov,100,34,1040,0
rquw,4095,361,21,1
puok,59,548,202,0
mfsl,1784,1189,6,1
aylq,2660,24,299,0
ugdl,6,53,9,0
irit,49,85,1315,1
jtcp,4208,309,23,0
nsib,966,410,18,1
aqmk,1011,565,23,0
jjzc,943,178,19,0
wnsq,948,47,497,0
vmyw,131,137,375,1
rlko,1442,4209,195,1
ucch,4615,363,1190,0
nqyl,93,182,247,0
zyop,28,22,1498,1
pvvx,3625,97,13,1
kmvg,21,223,612,0
zbav,378,8782,461,0
ixkw,1696,6616,226,1
uhqm,1465,548,282,0
yliv,49,7327,14,0
lqzh,45,577,44,1
gfkf,52,555,12,1
fktj,1239,538,525,1
ypzn,17,2895,201,1
iqlr,79,477,333,1
vjva,3180,8437,4,1
erto,54,552,593,0
pfso,3267,115,550,0
qufg,4489,69,2,0
fagy,20,363,150,1
gjxb,8,51,6,1
fhpl,3870,374,63,0
xkuc,30,98,16,0
cylj,1,94,18,1
lyyq,1083,96,3,1
sspc,2064,7610,19,0
stli,50,579,54,1
lwqg,1032,783,311,1
erpq,58,23,520,1
iyse,1585,51,12,0
ryvd,76,163,31,0
tmsm,4141,8840,410,0
cxhs,3923,86,98,1
fvjr,1697,43,81,1
icqd,2463,208,7,1
xkzi,17,5557,20,0
oyvd,24,5582,243,0
egwh,12,533,252,1
srlk,2985,394,17,1
tbgw,19,6568,484,1
xrna,88,7789,1958,0
jyqe,90,2837,2,1
raoa,25,3809,877,0
nifx,1384,66,17,1
eowx,14,343,129,0
svlo,396,503,3,0
brol,100,226,141,1
bist,1832,380,0,1
qxib,27,244,60,0
mnbj,3103,539,21,1
xsrc,65,122,9,1
bmah,17,4100,4,1
yvhf,729,5693,8,0
qoub,1029,217,4,1
gten,20,99,0,0
mmhf,1924,6729,833,0
jaay,60,6173,900,0
rsty,3039,3366,19,0
ynbb,23,412,120,0
yejg,14,241,17,1
bmoy,3174,593,159,0
cgwe,11,2840,1211,1
glfx,84,16,128,0
wftn,32,118,156,1
vhga,65,523,23,1
ybxi,2394,494,24,1
ufue,976,88,15,1
zdqk,75,65,497,0
tuse,28,1002,1998,0
ssae,27,62,22,0
oufn,70,381,21,0
nplv,2437,169,12,0
tpjp,4109,55,59,0
hsvz,21,110,163,0
hhch,2240,471,55,1
iewr,57,235,364,0
xudd,61,319,17,1
voke,3549,198,311,1
roen,3218,2673,422,1
gmgx,61,64,331,1
ddge,100,874,1052,0
adms,2256,74,10,1
utcr,57,78,294,1
jbgo,2970,591,1097,1
aqxc,28,109,7,0
rvfk,3464,1941,7,1
jyiw,2282,71,70,0
kuzu,1332,396,15,1
fubw,82,106,356,1
hhva,437,97,19,1
yfci,3176,551,7,1
knqh,60,370,23,0
xmpz,68,29,10,1
gkme,4185,222,1,1
jwex,85,438,13,0
byls,59,6,399,1
ezhv,716,6311,3,1
knwx,1126,804,559,1
qqcc,4920,340,202,0
tuvk,56,529,570,1
wsje,984,342,16,1
vxmh,60,51,309,1
ioac,86,421,11,1
jtyq,34,34,11,0
wfhx,3965,6504,335,0
kvrz,7,332,537,1
aied,22,372,22,1
xaii,66,75,11,1
mvli,84,400,2,0
rmym,993,129,13,0
ezit,4839,183,320,0
wpvx,78,426,1621,0
fhap,3731,233,14,0
taec,50,267,5,1
araz,1135,5005,23,1
sngl,100,1248,20,0
pdhd,3304,379,2,0
ukom,90,207,617,0
xyfc,4347,4598,312,0
duzo,68,19,14,0
odle,0,421,14,1
plyy,76,434,412,1
lxvj,8,311,220,1
tyuz,4284,527,13,0
dspi,72,921,406,1
jepy,2541,8279,1,0
lkji,32,225,21,1
lcfk,2795,382,1874,1
dtlp,4590,95,2,0
bqnp,15,28,504,1
nuuc,4569,16,1882,0
exbd,1910,381,6,1
yvuk,82,432,292,0
igrq,81,41,168,0
ascp,90,4200,80,0
wedv,99,300,1847,1
fytk,39,304,368,1
iofs,3405,190,12,0
enpv,1527,4252,17,0
kvrz,2819,195,21,0
bbwc,60,310,5,1
wdlw,72,7879,35,1
aexs,2088,2837,19,0
yfzw,4053,107,424,0
jypc,80,6864,14,1
nsyg,2508,7588,7,1
gnrt,23,297,3,1
tayq,51,110,403,0
walb,98,134,25,1
ugtz,4029,375,67,0
hcle,548,1302,7,0
qrdu,2807,294,123,1
uqpp,75,305,188,0
fhhe,393,514,117,1
gvnx,2025,65,492,0
ktad,49,4284,361,1
ollm,60,306,8,0
xyly,19,71,15,0
cgdt,60,328,331,0
eskr,79,5824,24,0
hbhn,66,5747,23,0
innn,64,4631,11,0
wums,9,43,2,0
puap,82,539,8,0
euvd,3809,95,13,0
zvzg,2047,139,197,1
yttf,2169,474,0,1
ougx,17,8525,6,0
odsu,4567,126,508,0
iebs,1016,464,2,0
tsxf,17,117,9,1
jskp,4928,580,339,1
ofen,30,176,15,0
wueh,72,298,1369,0
npqu,3924,67,15,0
fmbi,96,146,3,1
pkca,54,360,597,1
miqq,433,102,6,1
ibnk,58,144,563,0
oull,484,7154,436,1
myvl,611,96,9,0
egjz,72,514,20,1
thqj,56,6559,24,1
anyh,1211,463,494,0
figr,3146,17,41,1
kgeb,53,409,3,0
cwtm,63,161,23,1
hqwd,17,145,12,0
xlsb,3147,599,18,0
pplk,79,51,80,0
uozx,719,343,14,0
vmxe,27,3,327,1
hhhp,5,547,566,1
ingn,917,536,71,0
xkft,2693,383,520,0
mqzy,59,26,1914,0
pttq,4081,199,359,1
bwec,780,5783,3,0
dwkx,3836,2916,494,1
wvqd,74,169,25,1
ndav,464,1,522,1
ceod,2820,534,569,0
cnsf,2203,489,326,1
qixw,37,536,646,0
czry,1,39,6,0
hjuw,1242,7250,435,1
lflz,2301,491,8,1
nxjb,4918,55,449,0
ddki,930,6878,527,0
lqlf,94,120,292,1
otfj,31,160,546,1
byes,59,576,104,0
vykp,70,341,10,1
vblx,1680,176,1,1
oxxt,2680,82,25,1
eduy,3845,567,1470,0
mfbb,41,15,20,1
slee,585,145,192,0
eezj,9,516,16,0
bxvw,2697,112,439,1
ypcy,15,511,605,0
hmds,93,503,342,1
